Tweet,created_at,hashtags
"RT @adconcepts2001: Just a little laugh out loud moment this Wednesday 😅🤣😆

Have a great day guys
#trump #thedonald #adconceptsng https://t…",2020-05-13 08:39:28,"['trump', 'thedonald', 'adconceptsng']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:39:39,"['Trump', 'Steele']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:39:39,"['Trump', 'Steele']"
"Tough times for dark skinned entrepreneurs n the African-American community residing in 🇺🇸 
#COVIDー19 #Lockdown #Trump https://t.co/cqZnBiIwFt",2020-05-13 08:39:40,"['COVIDー19', 'Lockdown']"
"RT @inselratte: Tory leaver MP Bone lists reasons why the PM's Sunday television address was ""wrong"" and breached ministerial code. 
He arg…",2020-05-13 08:39:43,[]
@realDonaldTrump CAN YOU TURN OFF YOUR 5G TOWERS AROUNDTHE WORLD #5G #Trump#wednesdaymorning #DonaldTrump,2020-05-13 08:39:48,"['5G', 'DonaldTrump']"
RT @mayawiley: #Sekulow is complaining that #Trump could be convicted so that is why he should be protected because in a civil case like #P…,2020-05-13 08:39:56,"['Sekulow', 'Trump']"
"RT @stevewh67: If everything that happens in life is God's plan, including #ChildAbuse #childmolestation #rape #racism #Genocide &amp; #Trump,…",2020-05-13 08:40:07,"['ChildAbuse', 'childmolestation', 'rape', 'racism', 'Genocide', 'Trump']"
"RT @montanasociali3: I know people aren’t gonna like this #tweet, but I bet @JoeBiden is a fan of finger puppets. #joebiden",2020-05-13 08:40:10,"['tweet', 'joebiden']"
RT @jpierni: In an extraordinary show of solidarity for @weijia at next  #WhiteHousePressBriefing all  reporters must walk out on #trump &amp;…,2020-05-13 08:40:25,"['WhiteHousePressBriefing', 'trump']"
@realDonaldTrump CAN YOU TURN OFF YOUR 5G! TOWERS AROUNDTHE WORLD #5G #Trump #wednesdaymorning #DonaldTrump,2020-05-13 08:40:30,"['5G', 'Trump', 'wednesdaymorning', 'DonaldTrump']"
"RT @best_american: 🚨ED HENRY DROPS A BOMBSHELL ON TUCKER CARSON:

Former Director of the CIA John #Brennan covered up intelligence that #Ru…",2020-05-13 08:40:35,['Brennan']
@AnonymousSage1 #TRUMP needs to put AG #WilliamBarr on the case &amp; protect American Constitutional rights in those States with Demon-cratic Governors. #Gates can't put his devil patent #6666 into effect without the Governors consent. Going to be contentious times ahead.,2020-05-13 08:40:40,"['TRUMP', 'WilliamBarr']"
"RT @SaraCarterDC: Clinton, DNC Lawyers 'Enlisted Foreign Interference' In U.S. Election, Not #Trump 

They knew that #Steele was a foreign…",2020-05-13 08:40:45,"['Trump', 'Steele']"
